kw,vol,kd,intent,serp,terr,etapa,ponte,dono
protetor solar facial,110000,37,Informational,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches, Short Videos",protetor solar,Adjacente-creme,camiseta UV / lycra (ponte: roupa complementa o creme),não
pilates,110000,51,Informational,"Short Videos, Knowledge Panel, Local Pack, Image Pack, Video, Video Carousel, People Also Ask, Related Searches",pilates,?,,não
protetor solar com cor,40500,24,Informational,"Site Links, Image, People Also Ask, Popular Products, AI Overview, Image Pack, Video, Video Carousel, Related Searches, Short Videos",protetor solar,Adjacente-creme,camiseta UV / lycra (ponte: roupa complementa o creme),não
natação,40500,43,Informational,"Image Pack, Reviews, Video, Image, People Also Ask, Related Searches, Local Pack",natação piscina,?,,não
yoga,40500,61,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Local Pack, Video",yoga,?,,não
mindfulness,33100,46,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview",yoga,Adjacente,IOGA / FITNESS (top e legging),não
protetor solar infantil,18100,26,Informational,"Related Searches, AI Overview, Reviews, Video, Popular Products, Short Videos, Image Pack, Site Links, People Also Ask",proteção infantil,Família,camiseta UV infantil / maiô infantil,não
protetor solar corporal,14800,25,Commercial,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches",protetor solar,Adjacente-creme,camiseta UV / lycra (ponte: roupa complementa o creme),não
hot yoga,14800,40,Informational,"Related Searches, Short Videos, AI Overview, Knowledge Panel, Local Pack, Video, Video Carousel, People Also Ask",yoga,?,,não
bola de futevôlei,12100,21,Commercial,"Popular Products, Related Searches, Image Pack, Site Links, Video, Image, Video Carousel, People Also Ask",futevôlei,Equipamento,sunga / bermuda / lycra,não
tapete de yoga,12100,22,Commercial,"Video, Popular Products, Related Searches, AI Overview, Image Pack, Site Links",yoga,Equipamento,IOGA / FITNESS (top e legging),não
pilates emagrece,12100,25,Informational,"Image Pack, Video, People Also Ask, Related Searches, AI Overview",pilates,Benefícios,IOGA / FITNESS (top e legging),não
insolação sintomas,12100,33,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview",pele e saúde,Saúde,camiseta UV / lycra (autoridade em fotoproteção),não
sintomas de insolação,9900,30,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, AI Overview",pele e saúde,?,,não
protetor solar para pele oleosa,8100,26,Informational,"Image Pack, Site Links, Video Carousel, People Also Ask, Related Searches, AI Overview, Reviews, Video, Popular Products, Short Videos",protetor solar,Adjacente-creme,camiseta UV / lycra (ponte: roupa complementa o creme),não
protetor solar facial com cor,8100,28,"Informational, Commercial","People Also Ask, Popular Products, Related Searches, Short Videos, AI Overview, Image Pack, Site Links, Video",protetor solar,?,,não
ioga,8100,45,Informational,"People Also Ask, AI Overview, Image Pack, Site Links, Reviews, Video, Related Searches, Short Videos, Video Carousel",yoga,?,,não
benefícios do pilates,6600,21,Informational,"Short Videos, AI Overview, Image Pack, Video, Video Carousel, People Also Ask, Related Searches",pilates,Benefícios,IOGA / FITNESS (top e legging),não
hidroterapia,5400,29,Commercial,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Local Pack",natação piscina,Adjacente,maiô / camiseta UV / sunga,não
pilates solo,4400,14,Informational,"Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview, Image Pack, Video",pilates,Prática,IOGA / FITNESS (top e legging),não
nado crawl,4400,18,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview, Image Pack, Reviews",natação piscina,Prática,maiô / camiseta UV / sunga,não
protetor solar em spray,4400,25,Informational,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches, Short Videos, AI Overview",protetor solar,Adjacente-creme,camiseta UV / lycra (ponte: roupa complementa o creme),não
hatha yoga,4400,29,Informational,"Short Videos, AI Overview, Knowledge Panel, Reviews, Video, Video Carousel, People Also Ask, Related Searches",yoga,Prática,IOGA / FITNESS (top e legging),não
maiô para natação,3600,22,Commercial,"Site Links, Video, People Also Ask, Popular Products, Related Searches, Short Videos, Image Pack",natação piscina,Equipamento,maiô / camiseta UV / sunga,não
alergia ao sol,3600,24,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Video",pele e saúde,Saúde,camiseta UV / lycra (autoridade em fotoproteção),não
