slug,formato,hub,tipo_kw,keyword,vol,kd,intent,fonte,url_destino
protetor-solar-com-cor,CMP,sol e pele,primaria,protetor solar facial com cor,8100,28,"Informational, Commercial",medido,/feminino/camiseta-uv1/
protetor-solar-com-cor,CMP,sol e pele,secundaria,protetor solar com cor,40500,24,Informational,medido,/feminino/camiseta-uv1/
protetor-solar-spray,Q&A,sol e pele,primaria,protetor solar em spray,4400,25,Informational,medido,/feminino/camiseta-uv1/
protetor-solar-pele-oleosa,GUI,sol e pele,primaria,protetor solar para pele oleosa,8100,26,Informational,medido,/feminino/camiseta-uv1/
protetor-solar-pele-oleosa,GUI,sol e pele,secundaria,protetor solar facial pele oleosa,3600,28,Informational,medido,/feminino/camiseta-uv1/
protetor-solar-pele-oleosa,GUI,sol e pele,secundaria,protetor solar facial para pele oleosa,2400,24,Informational,medido,/feminino/camiseta-uv1/
melhor-protetor-solar-facial,LST,sol e pele,primaria,melhor protetor solar facial,1600,19,Commercial,medido,/feminino/camiseta-uv1/
melhor-protetor-solar-facial,LST,sol e pele,secundaria,melhor protetor solar,3600,31,Commercial,medido,/feminino/camiseta-uv1/
protetor-solar-bastao,Q&A,sol e pele,primaria,protetor solar facial bastao,1600,21,"Informational, Transactional",medido,/feminino/camiseta-uv1/
quanto-tempo-dura-protetor-solar,Q&A,sol e pele,primaria,quanto tempo dura o protetor solar,,,,PAA/n-d,/feminino/camiseta-uv1/
como-se-proteger-do-sol,GUI,sol e pele,primaria,como se proteger do sol na praia,20,0,,medido,/feminino/camiseta-uv1/
hot-yoga,Q&A,bem-estar,primaria,hot yoga,14800,40,Informational,medido,/feminino/ioga-fitness/
tapete-de-yoga,GUI,bem-estar,primaria,tapete de yoga,12100,22,Commercial,medido,/feminino/ioga-fitness/
yoga-ou-pilates,CMP,bem-estar,primaria,yoga ou pilates,,,,PAA/n-d,/feminino/ioga-fitness/
pilates-para-iniciantes,HOW,bem-estar,primaria,pilates para iniciantes,390,31,Informational,medido,/feminino/ioga-fitness/
quantas-vezes-pilates,Q&A,bem-estar,primaria,quantas vezes por semana fazer pilates,,,,PAA/n-d,/feminino/ioga-fitness/
pilates-dor-nas-costas,Q&A,bem-estar,primaria,pilates para dor nas costas,140,9,Informational,medido,/feminino/ioga-fitness/
